CatID	SubCat
HG	HG-4003
HG	HG-5000
HG	HG-5002
HG	HG-5003
HG	HG-5004
HG	HG-5009
HG	HG-7000
HG	HG-8000
HG	HG-S1101
HG	HG-S1102
HG	HG-S1103
HG	HG-S1109
HG	HG-S1110
HG	HG-S2101
HG	HG-S3101
HG	HG-S3109
HG	HG-S4101
HG	HG-S4102
HG	HG-S5101
HG	HG-S7101
HG	HG-S7106
HG	HG-S7107
HG	HG-S7108
DW	DT-400
DW	DG-101
DW	DG-102
DW	DG-103
DW	DG-104
DW	DG-105
DW	DG-106
_2K	2KT-326
_2K	2KE-1A/B
_2K	2KE-8A/B
_2K	2KI-1A/B
_2K	2KI-8A/B
PM	PM-200
TH	TH-001
TH	TH-002
HW	HW-G1900
HW	HW-M2900
HW	HW-G1901
HW	HW-G1903
HW	HW-G1904
HW	HW-G1906
HW	HW-G1909
HW	HW-G1910
HW	HW-G1911
HW	HW-G1914
H2_	H2-163
H2_	H2-222
H2_	H2-370
H2_	H2-877
H2_	H2-888
H2_	H2-1000
H2_	H2-8400
H2_	WT-500
H2_	H2-G800
H2_	H2-G100
H2_	H2-G465
H2_	H2-G684
H2_	H2-G463
H2_	H2-G687
H2_	H2-G111 
H2_	H2-S101 
H2_	H2-S177 
H2_	H2-S255 
H2_	H2-S808 
